id,title,genre,plot_summary
1,The Martian,Sci-Fi,"An astronaut is stranded on Mars and must find a way to survive until rescue."
2,12 Angry Men,Drama,"A jury deliberates over the fate of a teenager accused of murder."
3,Inception,Sci-Fi,"A thief enters people's dreams to steal secrets but is given an inverse task."
4,Titanic,Romance,"A young couple falls in love aboard the ill-fated Titanic."
5,The Godfather,Crime,"An organized crime dynasty's aging patriarch transfers control to his son."
6,Avengers: Endgame,Action,"Superheroes band together to undo the actions of a devastating villain."
7,Forrest Gump,Drama,"Life story of a slow-witted but kind man from Alabama who witnesses history unfold."
8,Jurassic Park,Adventure,"Scientists clone dinosaurs for a theme park but chaos ensues."
9,The Dark Knight,Action,"Batman battles the Joker, a criminal mastermind sowing chaos in Gotham."
10,The Matrix,Sci-Fi,"A hacker discovers reality is a simulation controlled by machines."
